Ich komme aus Land,wǒ cóng Land lái
Ich bin Nationalität,wǒ shì Nationalität rén
Ich spreche Sprache,wǒ shuō Sprache
Bitte kommen Sie herein,qǐng jìn
Nehmen Sie bitte platz,qǐng zuò
Trinken Sie Tee bitte,qǐng hē chá
Schauen Sie bitte,qǐng kàn
Vier ist Vier. Zehn ist Zehn,sì shì sì. shí shì shí
Vierzehn ist vierzehn,shí sì shì shí sì
Vierzig ist Vierzig,sì shí shì sì shí
Ich bin Zhang li.,wǒ shì zhāng lì
Ich bin Chinesin.,wǒ shì zhōng guó rén
Ich bin Lehrerin.,wǒ shì lǎo shī
Ich unterrichte Chinesisch.,wǒ jiāo zhōng wén.
Er ist Tom.,tā shì tom
Er ist Amerikaner.,tā shì měi guó ré
Er ist Student.,tā shì xué shēng
Er studiert Wirtschaft.,tā xué jīng jì
Sie ist Anna.,tā shì ān nà
Sie ist Deutsche.,tā shì dé guó rén
Sie ist Übersetzerin.,tā shì fān yì
Sie übersetzt Chinesisch und Englisch.,tā fān yì zhōng wén hé yīng wén.
Unterrichtet Zhangli Chinesisch?,Zhāng lì jiāo zhōng wén ma?
Ja.,shì de.
Studiert Tom Wirtschaft?,tāng mǔ xué xí jīng jì ma?
Sind Sie Französin?,nín shì fǎ guó rén ma?
Nein. ich bin Deutsche.,bú shì. wǒ shì dé guó rén.
Studiert er Japanisch?,tā xué xí rì wén ma?
Nein. er studiert Wirtschaft.,bù. tā xué xí jīng jì
Ich bin Deutscher.,wǒ shì dé guó rén
Sie ist Studentin.,tā shì xué shēng
Er dolmetscht.,tā fān yì
Ich unterrichte Wirtschaft,wǒ jiāo jīng jì
Ich bin Student.,wǒ shì xué shēng.
Wang meiyu ist Lehrerin,Wáng měiyù shì lǎo shī
Er ist Übersetzer.,tā shì fān yì
Ich unterrichte Chinesisch.,wǒ jiāo zhōng wén
Sie übersetzt Englisch.,tā fān yì yīng wén
Zhang jian studiert Wirtschaft.,zhāng jiàn xué xí jīng jì
Sind Sie Franzose?,nǐ shì fǎ guó rén ma?
Ja./Ja./Richtig.,shì./ shì de./duì
Ist er Leherer?,tā shì lǎo shī ma?
Nein. er ist Dolmetscher.,bù. tā shì fān yì
Frau Zhang hat eine Tochter.,Zhāng nǚ shì yǒu yí gè nǚ’ér
Sie heißt Xiaojing.,tā jiào xiǎo jìng.
Xiaojing fährt gerne Fahrrad.,xiǎo jìng xǐ huān qí zì xíng chē
Sie hat zwei Fahrräder.,tā yǒu liǎng liàng zìxíng chē
Leherin Wang hat einen Sohn.,Wáng lǎo shī yǒu yí gè ér zi
Er heißt Xiaolong.,tā jiào xiǎo lóng
Xiaolong spielt gerne Tischtennis.,xiǎo lóng xǐ huān dǎ pīng pāng qiú.
Er hat acht Tischtennisbälle.,tā yǒu bā gè pīng pāng qiú
Herr Wu spielt gerne Geige.,wú xiān shēng xǐ huān lā xiǎo tí qín.
Er hat drei Geigen.,tā yǒu sān bǎ xiǎo tí qín.
Wie heißt du?,nǐ jiào shén me míng zi?
Ich heiße Zhang Xiaolong. Was ist das?,wǒ jiào zhāng xiǎo lóng. zhè shì shén me?
Das ist eine Geige.Ich spiele gerne Geige.Was machst du gerne?,zhè shì xiǎo tí qín. wǒ xǐ huān lā xiǎo tí qín .nǐ xǐ huān zuò shén me？
Ich spiele gerne Tischtennis.Spielen Sie gerne Tischtennis?,wǒ xǐ huān dǎ pīng pāng qiú.nǐ xǐ huān dǎ pīng pāng qiú ma?
Haben Sie Tischtennisbälle?,nǐ yǒu pīng pāng qiú ma?
Wie viele haben Sie? Zwei.,nǐ yǒu jǐ gè? liǎng gè.
Was ist das?,zhè shì shén me
Das ist eine Geige.,zhè shì Xiǎo tí qín
Wie heißt sie?,tā jiào shén me míng zi
Sie heißt Zhang Li.,tā jiào Zhāng lì
Ihr Chinesisch ist wirklich gut/toll!,nǐ de hàn yǔ zhēn hǎo
höfliche Erwiderung auf ein Lob. Das ist nett gesagt aber Sie übertreiben !,nǎ li  
Aus welchem Land kommt X?,X shi nǎ guó rén？
Wángměiyù ist verheiratet.,wángměiyù jié hūn le.
Ihr Mann heißt mit Familiennamen zhāng und mit Vornamen shùdé.,tā ài rén xìng zhāng.jiào shùdé.
Er ist Bibliothekar.,tā shì tú shūguǎn guǎn yuán
xiǎolóng ist ihr Sohn,xiǎolóng shì tāmen de ér zi.
Sie wohnen in Beijing.,tāmen zhù zài běijīng
zhāng jiàn ist ein Student von wángměiyù.,zhāng jiàn shì wángměiyù de xuéshēng.
Herr zhāng ist noch nicht verheiratet,zhāng xiānshēng hái méi jié hūn
Sein Vater und seine Mutter/seine Eltern wohnen in London,tā bàba māma zhù zài lún dūn
Er hat einen älteren Bruder und eine jüngere Schwester,tā yǒu yí gè gēge. yí gè mèimei.
Wie ist Ihr(werter) Familienname?,nǐ guì xìng ?
Ich heiße mit Familiennamen bèi.,wǒ xìng bèi
Ich heiße mit Familiennamen zhāng.,wǒ xìng zhāng
Aus welchem Land kommen Sie?,wǒ shì dé guó rén.
Ich komme aus Deutschland.,wǒ shì dé guó rén
Ich bin Bibliothekar,wǒ shìtúshūguǎn guǎn yuán.
Ach. Sie sind der Mann von Lehrerin wáng!,à. nǐ shì wáng lǎo shī de ài rén
Richtig.Das da ist unser Sohn xiǎo long,duì.nà shì wǒ men de ér zi xiǎolóng.
Ich kenne xiǎolóng…Ich habe eine Tochter.,wǒ rèn shi xiǎolóng…wǒ yǒu yí gè nǚ’ ér.
Ach.Sie sind verheiratet!Sind Ihr Mann und Kind in běi jīng?,à. nǐ jié hūn le! nǐài rén hé hái zi zài běijīng zhù ma?
Nein. sie sind in Deutschland.,bù. tāmen zài dé guó
Wo wohnen sie?,tāmen zhù zài nǎr
Sie wohnen in Frankfurt.,tāmen zhù zài fǎlánkèfú.
Ihr Chinesisch ist wirklich gut!,nǐ de hàn yǔ zhēn hǎo!
Das ist nett gesagt aber Sie übertreiben,nǎ li. nǎ li.
Wo ist sie?,tā zài nǎr?
Sie ist in der Bibliothek,tā zài tú shū guǎn
Frage nach dem Familiennamen.(normal),nǐ xìng shén me?
Frage nach dem Familiennamen.(höflicher),nǐ guì xìng ?
Er heißt zhāng shù dé.,tā jiào zhāng shù dé
Er heißt mit Familiennamen zhāng mit Rufnamen shùdé.,tā xìng zhāng jiào shù dé
Wie geht´s dir?,nǐ hǎo ma?
Mir geht`s gut. Danke. Und dir?,wǒ hěn hǎo. xiè xiè. nǐ ne?
Mir geht`s auch gut.,wǒ yě hěn hǎo
Wie geht`s deinen Eltern?,nǐ bà ba mā ma hǎo ma?
Ihnen geht´s gut,tā men hěn hǎo.
Bist du Chinese?,nǐ shì zhōng guó rén ma?
Nein. ich bin nicht Chinese.,bù. wǒ búshì zhōng guó rén.
Ist er Japaner?,tā shì rì běn rén ma?
Ja. er ist Japaner.,shì de. tā shì rìběn rén.
Aus welchem Land kommen sie?,tā men shì nǎ guó rén?
Sie sind Amerikaner.,tā men shì měi guó rén.
Wie heissen Sie mit wertem Familiennamen?,Ní guì xìng?
Ich heisse mit Familiennamen Wang.,wǒ xìng wáng.
Wie heisst du?,nǐ jiào shénme míng zi?
Ich heisse Wang Fang.,wǒ jiào wáng fāng.
Was ist dieses?,Zhè shì shén me?
Dieses ist ein Buch.,Zhè shì shū.
Was sind die da?,nà shì shén me?
Die sind Papiere.,nà shì zhǐ.
Wer ist er?,tā shì shuí?
Er ist mein Bruder.,tā shì wǒ de gē ge.
Sind sie Lehrer?,tā men shì lǎo shī ma?
Nein. sie sind keine Lehrer.,bù. tā men bú shì lǎo shī.
Sie sind Studenten.,tā men shì xué shēng.
Wer ist er?,tā shì shuí?
Er ist Herr Wang.,tā shì wáng xiān sheng.
Aus welchem Land kommt er?,tā shì nǎ guó rén?
Er ist Deutscher.,tā shì dé guó rén.
Was macht er von Beruf?,tā zuò shén me gōng zuò?
Er ist Journalist.,tā shì jì zhě.
Wie alt ist er?,tā duō dà ?
Er ist 30 Jahre alt.,tā sān shí sùi.
Wo wohnt er?,tā zhù zài nǎr?
Er wohnt in Shanghai.,tā zhù zài shàng hǎi.
Was lernt er?,tā xué shén me?
Er lernt Chinesisch.,tā xué zhōng wén.
Ich heisse Wangming.,wǒ jiào wángmíng
Ich bin Deutscher und wohne in Berlin.,（wǒ）shì déguórén zhù zài bólín.
Ich bin 32 Jahre alt und verheiratet.,wǒ sānshí`èr suì jiéhūn le
Ich habe zwei Kinder:eine Tochter und einen Sohn.,（wǒ）yǒu liǎng ge háizi yí ge nǚ`ér yí ge érzi
Ich bin Ingenieur.,wǒ shì gōngchéngshī.
Mein Familienname ist Li mit Vornamen heisse ich yulan.,wǒ xìng lǐ jiào yùelán.
Ich bin Chinesin und wohne in Peking.,wǒ shì zhōngguórén zhù zài běijīng.
Ich bin 44 Jahre alt und habe eine Tochter.Sie heisst xiaoyun.,wǒ sìshísì suì. （wǒ）yǒu yí ge nǚ`ér. tā jiào xiǎo yún. 
Ich bin Lehrerin und unterrichte Japanisch.,wǒ shì lǎo shī jiāo rìwén.
Ich heisse Jack. ich bin Brite.,wǒ jiào jié kè.wǒ shì yīng guó rén.
Es gibt 6 Personen insgesamt in meiner Familie.,wǒ jiā yígòng yǒu liù gè rén.
Vater Muter ätere Schwester jüngere Schwester jünger Bruder und Ich.,Bàba māma jiějie mèimei dìdi hé wǒ.
Mein Vater ist Doktor.,wǒ de Bàba shì yīshēng
Meine Mutter ist Journalistin.,wǒ de māma shì jìzhě
Meine ältere Schwester ist 27 Jahre alt.,wǒ de jiějie èr shí qī suì.
Sie ist Leherin in einer Grundschule.,shì xiǎo xué lǎo shī
Meine jüngere Schwester und Bruder sind beide Schüler in einer Mittelschule.,wǒ de mèimei hé dìdi dōu shì zhōngxuéshēng.
Ich bin Student an der Universität.,wǒ shì dà xué shēng
Leher li wie viel Personen gibt es in deiner Familien?,lǐ lǎo shī nǐ jiā yǒu jǐ gè rén?
Es gibt vier Personen in meiner Familie: meine Frau meine Tochter mein Sohn und ich,wǒ jiā yígòng yǒu sìgè rén: wǒ de tàitai nǚ`ér érzi hé wǒ.
Ist deine Frau auch Lehrerin?,nǐ de àiren yě shì lǎoshī ma?
Nein. sie ist Angestellte.,bù. tā shì gōng sī zhí yuán.
Wie alt sind deine Tochter und dein Sohn?,nǐ de érzi hé nǚ`ér duō dà ?
Mein Sohn ist 17 Jahre alt meine Tochter ist 15 Jahre alt.,wǒ de érzi shíqī suì wǒ de nǚ`ér shíwǔ suì.
Sie sind beide Schüler in einer Mittelschule.,tāmen dōu shì zhōng xué shēng.
Ist dein Vater Doktor?,nǐ de bàba shì yīshēng ma?
Ja. er ist Doktor.,shì de.tā shì yīshēng.
Nein. er ist nicht Doktor.,bù. tā bú shì yīshēng.
Wer ist sie?,tā shì shuí/shéi?
Sie ist meine ältere Schwester.,tā shì wǒ (de) jiějie.
Was macht deine ältere Schwester beruflich?,nǐ (de) jiějie zuò shénme gōng zuò?
Meine ältere Schwester ist Leherin in einer Grundschule.,wǒ (de) jiějie shì xiǎoxué lǎoshī.
Sind dein jüngerer Bruder und deine jüngere Schwester Schüler in einer Mittelschule?,Nǐde dìdi hé mèimei dōushì zhōngxuéshēng Ma? 
Ja. sie sind beide Schüler in einer Mittelschule.,Shìde. tāmen dōu shì zhōngxuéshēng.
Nein. sie sind beide nicht Schüler in einer Mittelschule.,bù. tāmen dōu búshì zhōngxuéshēng.
Ist dein älterer Bruder auch Doktor?,nǐ de gēge yěshì yīshēng shìma?/shìbúshì?
Nein. Er ist nicht Doktor.,bù.tā búshì yīshēng
Er ist Journalist.,tā shì jìzh
Bist du und dein jünger Bruder beide Studenten an der Uni?,nǐ hé nǐde dìdi dōushì dàxuéshēng ma?
Wir sind nicht beide Studenten.,bù. wǒmen bù dōushì dàxuéshēng.
Ich bin Student an der Uni mein jüngerer Bruder ist Schüler in einer Mittelschule.,wǒ shì dàxuéshēng wǒ(de)dìdi shì zhōngxuéshēng.
Wie viele Personen gibt es in deiner Familie?,nǐ jiā yígòng yǒu jǐ gè rén?
Es gibt 6 Personen in meiner Familie.,wǒ jiā yígòng yǒu liù gè rén.
Wie alt ist dein Vater?,nǐ de bàba duō dà niánji?
Mein Vater ist 63 Jahre alt.,wǒ de bàba liùshísān suì.
Wie alt ist deine Schwester?,nǐ (de) jiějie duō dà?
Sie ist 27 Jahre alt.,tā èrshíqī suì.
Wie alt ist dein jüngerer Bruder?,nǐ (de) dìdi jǐ suì?
Er ist 5 Jahre alt.,tā wǔ suì
Ist deine Mama auch Doktor?,nǐ (de) māma yěshì yīshēng ma?
Ja. Sie ist auch Doktor.,Shìde. tā yě shì yīshēng.
Xiaoming steh auf steh auf!,Xiǎo míng qǐ chuáng qǐ chuáng!
Welchen Tag haben wir heute?,Jīn tiān xīng qī jǐ?
Heute ist Freitag du hast Unterricht.,jīn tiān xīng qī wǔ nǐ yǒu kè.
Morgen hast du Zeit?,míng tiān nǐ yǒu kòng ma?
Morgen Vormittag höre ich die Tonaufnahme Nachmittags schreibe ich chinesische Schriftzeichen.,wǒ míng tiān shàng wǔ tīng lù yīn xià wǔ xiě hàn zì.
Morgen Abend gehen wir ins Kino O.K?,míng tiān wǎn shàng wǒ men qù kàn diàn yǐng hǎo ma?
O.K.,Hǎo.
Er geht (hin).,tā qù
Kommt Anli？,ān lì lái ma 
Ich gehe in die Bibliothek.,wǒ qù tú shū guǎn.
Kommt er in die Bibliothek?,tā lái tú shū guǎn ma
Wozu bist du gekommen?/Was machst du hier? (Wörtl:du kommst machst was?),nǐ lái zuò shén me?
Ich bin hier um meine Mutter zu besuchen.,wǒ lái kàn wǒ māma.
Wohin gehst du Buch lesen,nǐ qù nǎ`r kàn shū?
Er geht nach China um (dort) zu arbeiten.,tā qù zhōngguó gōng zuò.
Herr Müller ist ein Deutscher Journalist.,mǐlè xiānshēng shì déguó jìzhě.
Er studiert zur Zeit an der Universität Pejing Chinesisch.,Xiànzài zài běijīng dàxué xuéxí zhōngwén.
Morgens steht er um halb sieben auf.,tā zǎo shàng liù diǎn qǐchuáng.
Zehn vor zwölf ist der Unterricht aus.,shí`èr diǎn chà shífēn xiàkè.
Um zwölf Uhr isst er zu Mittag.,zhōngwǔ shí`èr diǎn chī wǔfàn.
Nachmittags liest er und schreibt er Zeichen.,xiàwǔ tā kànshū xiězì.
Abends geht er um halb elf schlafen.,Wǎnshàng shí diǎn bàn shuì jiào.
Wieviel Uhr ist es jetzt?,Xiàn zài jǐ diǎn?
Jetzt ist es acht Uhr.,xiàn zài bā diǎn.
Um wieviel Uhr steht ihr auf?,Nǐmen jǐ diǎn qǐ chuáng?
Wir stehen um halb acht Uhr auf.,wǒ men qīdiǎnbàn qǐ chuáng.
Wann kommen sie?,Tāmen shénme shíhòu lái?
Sie kommen morgen um zwei Uhr.,Tāmen míng tiān liǎng diǎn lái.
Wir sehen uns um Viertel nach sieben in der Universität einen Film an.,Wǒmen qī diǎn yíkè zài dàxué kàn diànyǐng.
Wir treffen uns am Donnerstagabend um sechs an der Mensa.,Wǒmen xīngqīsì wǎnshàng liùdiǎn zài cāntīng jiànmiàn.
Xiaoyun ist 12 Jahre alt.,Xiǎo yún shí`èr suì.
Jetzt ist es zwei Uhr.,Xiàn zài liǎng diǎn.
Welcher Wochentag ist heute?,Jīn tiān xīng qī jǐ?
Er kommt.,tā lái
Kommt er?,tā lái ma?
Ich habe morgen Zeit.,wǒ míngtiān yǒu kòng.
Er steht um sieben Uhr auf.,tā qīdiǎn qǐ chuáng.
Sie heiraten am Sonntag.,Tāmen xíngqītiān jié hūn.
Wann hast du Zeit?,nǐ shénme shíhòu yǒu kòng?
Um wieviel Uhr steht er auf?,tā Jǐ diǎn qǐ chuáng?
An welchem Wochentag heiraten sie?,Tāmen xíngqījǐ jié hūn?
Müller lernt jetzt in Peking Chinesisch.,Müller Xiàn zài zài běijīng xué zhōngwén. 
Wo treffen wir uns am Sonntag?,Wǒmen Xíngqītiān zài nǎr Jiàn miàn?
Es ist jetzt Fünf vor zehn/9.55,Xiàn zài chà wǔ fēn shí diǎn
Es ist jetzt Fünf vor zwei(Uhr).,Xiàn zài liǎng diǎn chà wǔ fēn
Es ist jetzt Fünf vor zwei(Uhr).,Xiàn zài chà wǔ fēn liǎng diǎn
Es ist jetzt Viertel vor neun(Uhr).,Xiàn zài jiǔ diǎn chà yí kè
Es ist jetzt Viertel vor neun(Uhr).,Xiàn zài chà yí kè jiǔ diǎn
Guten Tag xiaoli!,Xiǎo lǐ nǐ hǎo!
A. xiaowang du bist es!,à. xiǎo wáng shì nǐ a!
Wohin gehst du?,nǐ qù nǎr?
Zum Unterricht in die Universität.Ich habe zwei Stunde Englisch.,qù dàxué shàngkè.wǒ yǒu liǎng jiéyīngwénkè.
Hast du nachmittags Unterricht?,nǐ xiàwǔ yǒu kè ma?
Nein und du?,Méi yǒu nǐ ne?
Ich auch nicht.Wollen wir schwimmen gehen?,wǒ yě méi yǒu.wǒmen qù yóuyǒng zěnme yàng?
Entschuldige bitte (aber) ich muss einen englischen Freund besuchen.,duìbùqǐ wǒ děi qù kàn yígè yīngguó péngyou.
Na hast du (denn) abends Zeit?,Nàme nǐ wǎnshàng yǒu shíjiān ma?
Ja. wollen wir ins Kino gehen?,Yǒu.wǒmen qù kàn diàn yǐng hǎo ma?
Gut und was für einen Film schauen wir an?,Hǎo kàn shénme diàn yǐng?
(Wir sehen uns) einen chinesischen Film (an). Er heisst xy.,kàn zhōngguó diàn yǐng.tā jiào XY
Um wieviel Uhr fängt der Film an?,diàn yǐng jǐ diǎn kāi shǐ?
Er fängt um halb acht an.,qī diǎn bàn kāi shǐ.
Und wo wollen wir uns treffen?,Nàme wǒmen zài nǎr jiànmiàn?
Wir treffen uns Viertel vor sieben an der Mensa OK?,qī diǎn chà yí kè zài cān tīng jiàn miàn hǎoma?
Gut.,Hǎo de.
Oh schon zwanzig nach zehn.,à shí diǎn èr shí le.
Ich muss jetzt zum Unterricht.,wǒ děi qù shàng kè le.
Bis heute Abend!,wǎn shàng jiàn!
Gehen wir jetzt essen O.K?,Wǒmen xiàn zài qù chīfàn hǎo ma?
Wie wäre es mit morgen?,Míng tiān zěnmeyàng?
Ich habe keine Tochter Yuelan hat eine.,Wǒ méi(yǒu) nǚ`ér yuèlán yǒu.
Hast du am Nachmittag Unterricht?,nǐ xià wǔ yǒu kè ma?
Nein ich habe keinen Unterricht./Nein.,méi(yǒu) kè./ méi yǒu.
Da kommst du ja!(Na endlich),nǐ lái le! 
Wieviel Uhr ist es jetzt?,Xiàn zài jǐ diǎn?
oh je(es ist )schon acht Uhr!,aiyo bā diǎn le!
Jetzt musst du aber aufstehen!,nǐ děi qǐ chuáng le!
Ich bin 28 Jahre alt und Sie?,wǒ èrshíbā suì nǐ ne?
Es tut mir leid am Samstag habe ich keine Zeit.,duìbùqǐ xīngqīliù wǒ méi yǒu kòng.
Und am Sonntag?,xīngqītiān ne?
Bis heute Abend!,wǎn shàng jiàn! 
Entschuldigen Sie die Frage wo ist das Shanghai Restaurant?,Qǐng wèn shànghǎi fàn diàn zài nǎr?
In der Nanjing-Strasse.,zài nánjīng lù.
Ist es weit dorthin?,lù yuǎn ma?
Sehr weit.,hěn yuǎn
Na wie komme ich dahin?,Nàme wǒ zěnme qù?
Sie fahren am besten mit dem Taxi hin.,nǐ zuì hǎo zuò chūzūchē qù.
Wo gibt es ein Taxi?,Nǎr yǒu chūzūchē?
Drüber.,Nàr.
Gut danke schön!,Hǎo xièxie
Nichts zu danken.,bú xiè.
Ich habe hier gestern ein Zimmer gebucht.,qǐng děng yíxià wǒ kànkàn.
Ich würde gerne wissen welche (Zimmer-)Nummer es ist.,.zuótiān wǒ zài zhèr dìng le yí gè fángjiān.
Bitte warten Sie einen Moment ich sehe mal nach.,qǐng děng yíxià wǒ kànkàn
Ihr Zimmer ist die Nr. 532 im fünften Stock.,.nǐ de fángjiān shì wǔ sān èr hào.
Bitte füllen Sie zuerst das Formular aus.,zài wǔ lóu.qǐng xiān tián biǎo.
Was kostet das Zimmer pro Tag?,yìtiān duōshǎo qián?
370kuai.(auch 370 Yuan),Sānbǎiqīshí kuài.
Gut ich gehe mein Gepäck holen.,Hǎo wǒ qù ná xínglǐ.
Wie kommt ihr morgen (hierher)?,Nǐmen míngtiān zěnme lái?
Wie komme ich zum Shanghai Restaurant?,wǒ zěnme qù shànghǎi fàn diàn?
Komm mal (kurz)!,Nǐ lái yíxià！
Ich möchte mir dieses Buch mal (kurz) ansehen.,wǒ xiǎng kàn yí xià zhè běn shū.
Was kostet dieses Buch?,zhè běn shū duōshǎo qián?
Fünfzig Kuai.,wǔshí kuài
Na das ist aber ganz schön teuer!,nà hěn guì！
Gehst du ins Kino?,nǐ qù kàn diàn yǐng ma?
Nein.,wǒ bú qù.
Na dann gehe ich auch nicht.,nà wǒ yě bú qù.
Wie viele Studenten hat die Peking Universität?,Běijīng dàxué yǒu duōshǎo xuéshēng?
Wie viele Tischtennisbälle hast du?,nǐ yǒu duōshǎo pīngpāngqiú